text,sentiment,timestamp,user
Bitcoin hashrate: 475 EH/s currently,neutral,2024-01-24 21:41:00,dao_member
Financial freedom through Bitcoin. Nothing better,positive,2024-01-24 22:13:00,alternative_client
Bitcoin fear and greed index: 34.79,neutral,2024-01-24 22:34:00,inflation_hedge
Bitcoin becoming less decentralized over time,negative,2024-01-24 23:19:00,hard_money
Every paycheck goes into Bitcoin. No regrets,positive,2024-01-24 23:46:00,pseudonymous_dev
Bitcoin creating generational wealth for hodlers,positive,2024-01-24 23:58:00,difficulty_watcher
Bitcoin represents hope for unbanked millions,positive,2024-01-25 00:15:00,full_node_operator
Active Bitcoin addresses: 42371 million,neutral,2024-01-25 00:34:00,keynesian_critic
Bitcoin correlation with stocks increasing,negative,2024-01-25 01:08:00,bitcoin_standard
Finally convinced my family to buy Bitcoin,positive,2024-01-25 01:15:00,retired_early
Current block height is 818480,neutral,2024-01-25 01:24:00,pseudonymous_dev
Quantum threat to Bitcoin is real,negative,2024-01-25 02:17:00,wallet_dev
Bitcoin beach in El Salvador is amazing,positive,2024-01-25 03:11:00,mining_pool
Bitcoin circular economy growing in El Salvador,positive,2024-01-25 03:43:00,spot_trader
Bitcoin empowers individuals worldwide,positive,2024-01-25 04:05:00,lightning_fan
Bought the dip again! DCA strategy works,positive,2024-01-25 04:39:00,security_first
Market manipulation obvious in Bitcoin trading,negative,2024-01-25 04:50:00,gen_z_crypto
Bitcoin failing as peer to peer currency,negative,2024-01-25 05:32:00,crypto_skeptic
Bitcoin rainbow chart suggests accumulation phase,neutral,2024-01-25 06:07:00,pseudonymous_dev
Bitcoin taproot upgrade activated 10 years ago,neutral,2024-01-25 06:32:00,bitcoin_knots
Best decision ever was buying Bitcoin in 2015,positive,2024-01-25 07:06:00,self_custody
Bitcoin solving real world problems daily,positive,2024-01-25 07:48:00,fiat_escapist
Bitcoin solves the money problem once and for all,positive,2024-01-25 08:01:00,spot_trader
Realized profit loss ratio: 1.17,neutral,2024-01-25 08:37:00,position_trader
I lost so much money on BTC. This is terrible,negative,2024-01-25 09:34:00,retail_investor
Institutions are buying Bitcoin like crazy! Bullish,positive,2024-01-25 10:26:00,retail_investor
Bitcoin halving excitement is building up,positive,2024-01-25 11:26:00,on_chain_guy
Bitcoin transaction fees are 7.1 dollars today,neutral,2024-01-25 12:03:00,deflation_lover
Bitcoin accepted at 16880 merchants worldwide,positive,2024-01-25 12:16:00,fiat_escapist
Bullish on Bitcoin fundamentals long term,positive,2024-01-25 12:39:00,paper_wallet
Bitcoin only useful for criminals and dark web,negative,2024-01-25 12:59:00,bitcoin_standard
Financial freedom through Bitcoin. Nothing better,positive,2024-01-25 13:03:00,boomer_hodler
Orange coin good! HODL forever,positive,2024-01-25 13:38:00,node_runner
Active Bitcoin addresses: 19362 million,neutral,2024-01-25 14:30:00,crypto_news
Bitcoin transaction confirmations too slow,negative,2024-01-25 15:29:00,hardware_wallet
Optimistic about Bitcoin scaling solutions,positive,2024-01-25 16:05:00,store_of_value
This bull run will be epic! Bitcoin to 33k,positive,2024-01-25 16:45:00,yield_farmer
Lightning Network channels: 29788 active,neutral,2024-01-25 17:00:00,protocol_dev
Coins moved on-chain: 58613 BTC,neutral,2024-01-25 17:29:00,austrian_economist
Unconfirmed transactions: 30602 in mempool,neutral,2024-01-25 18:28:00,bitcoin_dev
Unconfirmed transactions: 47283 in mempool,neutral,2024-01-25 18:45:00,position_trader
Bitcoin is the exit from the broken system,positive,2024-01-25 18:57:00,exchange_dev
Total value locked in Bitcoin DeFi protocols,neutral,2024-01-25 19:35:00,self_custody
Ordinals using Bitcoin blockchain for NFTs,neutral,2024-01-25 19:39:00,dca_investor
El Salvador Bitcoin experiment is working great,positive,2024-01-25 19:58:00,gold_bug_btc
Bitcoin scams everywhere. Can't trust anyone,negative,2024-01-25 20:35:00,brain_wallet
Too many Bitcoin scams ruining reputation,negative,2024-01-25 20:57:00,liquidity_provider
Bitcoin failing store of value test,negative,2024-01-25 21:51:00,market_maker
Bitcoin inflation rate: 18% annually,neutral,2024-01-25 22:35:00,scalper_pro
This is still early for Bitcoin adoption,positive,2024-01-25 22:41:00,inflation_hedge
Bitcoin circular economy growing in El Salvador,positive,2024-01-25 23:01:00,mining_dev
Bitcoin realized cap: $88965 billion,neutral,2024-01-25 23:51:00,self_custody
Bitcoin blockchain size reached 278 GB,neutral,2024-01-26 00:14:00,unit_of_account
Bitcoin exchange reserves: 92566 BTC,neutral,2024-01-26 00:40:00,options_trader
Bitcoin Puell Multiple reading: 17.16,neutral,2024-01-26 00:55:00,early_adopter
Watching Bitcoin price discovery is exciting,positive,2024-01-26 01:21:00,bitcoin_core
Not your keys not your coins. Self custody!,positive,2024-01-26 01:56:00,anon_trader
Bullish on Bitcoin fundamentals long term,positive,2024-01-26 02:02:00,nft_collector
Bitcoin fees too high for small transactions,negative,2024-01-26 02:03:00,paper_wallet
21 million Bitcoin supply cap is hardcoded,neutral,2024-01-26 02:31:00,medium_of_exchange
Bitcoin network congestion frustrating users,negative,2024-01-26 03:27:00,austrian_economist
Bitcoin adoption is growing. Major companies accepting it now,positive,2024-01-26 04:04:00,full_node_operator
Bitcoin mining becoming unprofitable for many,negative,2024-01-26 04:39:00,layer_two
Tether FUD spreading again. Bitcoin going down,negative,2024-01-26 05:10:00,layer_two
Bitcoin hash ribbons indicator neutral now,neutral,2024-01-26 05:53:00,bitcoin_standard
Excited about Bitcoin halving next year!,positive,2024-01-26 06:40:00,liquidity_provider
Bitcoin solves the money problem once and for all,positive,2024-01-26 07:24:00,swing_trader
Orange coin good! HODL forever,positive,2024-01-26 08:08:00,anon_trader
Sold all my Bitcoin. Moving to stocks,negative,2024-01-26 08:16:00,open_source
Strike app makes Bitcoin payments so easy,positive,2024-01-26 09:06:00,mempool_observer
Best decision ever was buying Bitcoin in 2016,positive,2024-01-26 09:13:00,chart_master
Governments successfully attacking Bitcoin,negative,2024-01-26 09:39:00,bitcoin_knots
Bitcoin bubble popped. Never coming back,negative,2024-01-26 10:28:00,exchange_dev
Never selling my Bitcoin. Passing it to my kids,positive,2024-01-26 10:33:00,medium_of_exchange
Bitcoin creating generational wealth for hodlers,positive,2024-01-26 11:21:00,early_adopter
Inflation hedge narrative failed for Bitcoin,negative,2024-01-26 11:36:00,whale_watcher
Living on Bitcoin for 10 years now. Amazing,positive,2024-01-26 12:12:00,bull_trader
Active Bitcoin addresses: 16679 million,neutral,2024-01-26 12:26:00,early_adopter
Bitcoin environmental impact is unsustainable,negative,2024-01-26 13:22:00,wallet_dev
Bitcoin inflation rate: 48% annually,neutral,2024-01-26 13:44:00,paper_wallet
Lightning Network makes Bitcoin amazing for payments,positive,2024-01-26 14:05:00,yield_farmer
This volatility is killing me. Can't handle BTC anymore,negative,2024-01-26 14:27:00,privacy_advocate
Strike app makes Bitcoin payments so easy,positive,2024-01-26 15:21:00,keynesian_critic
Average Bitcoin transaction size is 125 bytes,neutral,2024-01-26 15:50:00,inflation_hedge
Bitcoin Puell Multiple reading: 69.84,neutral,2024-01-26 16:40:00,maximalist_tom
Bitcoin realized cap: $85957 billion,neutral,2024-01-26 17:20:00,scalper_pro
Total value locked in Bitcoin DeFi protocols,neutral,2024-01-26 17:28:00,non_custodial
Optimistic about Bitcoin scaling solutions,positive,2024-01-26 17:52:00,privacy_maxi
Bitcoin failing store of value test,negative,2024-01-26 18:36:00,medium_of_exchange
Bitcoin network congestion frustrating users,negative,2024-01-26 19:13:00,privacy_advocate
Carbon footprint of Bitcoin is unacceptable,negative,2024-01-26 19:21:00,sats_stacker
MicroStrategy bought more Bitcoin! Saylor knows,positive,2024-01-26 19:51:00,swing_trader
Bitcoin losing market share to altcoins,negative,2024-01-26 20:17:00,brain_wallet
Bitcoin mining pools have too much power,negative,2024-01-26 20:38:00,hardware_wallet
Bitcoin reaching new all time highs soon,positive,2024-01-26 20:49:00,bitcoin_knots
HODL waves showing 25% held over 1 year,neutral,2024-01-26 21:35:00,settlement_layer
Bitcoin rainbow chart suggests accumulation phase,neutral,2024-01-26 22:02:00,options_trader
Bitcoin difficulty adjustment in 559 days,neutral,2024-01-26 22:40:00,crypto_news
Grateful for Satoshi Nakamoto every single day,positive,2024-01-26 23:29:00,bull_trader
Bitcoin empowers individuals worldwide,positive,2024-01-27 00:02:00,dao_member
Technical debt accumulating in Bitcoin,negative,2024-01-27 00:04:00,protocol_dev
Total value locked in Bitcoin DeFi protocols,neutral,2024-01-27 00:42:00,crypto_news
Bitcoin taught me patience and discipline,positive,2024-01-27 01:37:00,deflation_lover
Green candles everywhere! Bitcoin pumping hard,positive,2024-01-27 01:49:00,nakamoto_institute
Orange coin made me financially independent,positive,2024-01-27 02:21:00,technical_trader
Bitcoin transaction fees are 7.4 dollars today,neutral,2024-01-27 03:04:00,privacy_maxi
Bitcoin standard is coming. Get ready,positive,2024-01-27 03:27:00,gold_bug_btc
MicroStrategy bought more Bitcoin! Saylor knows,positive,2024-01-27 04:11:00,position_trader
Bitcoin circular economy growing in El Salvador,positive,2024-01-27 04:36:00,bitcoin_standard
Bitcoin fees too high for small transactions,negative,2024-01-27 05:31:00,bear_market_bob
Hyperbitcoinization is inevitable. Fiat dies,positive,2024-01-27 05:59:00,liquidity_provider
Strike app makes Bitcoin payments so easy,positive,2024-01-27 06:57:00,difficulty_watcher
Bitcoin scalability issues never solved,negative,2024-01-27 07:10:00,inflation_hedge
Bitcoin nodes distributed across 145 countries,neutral,2024-01-27 08:01:00,mempool_observer
Grateful for Satoshi Nakamoto every single day,positive,2024-01-27 08:19:00,singlesig_simple
Average Bitcoin transaction size is 161 bytes,neutral,2024-01-27 08:35:00,gpu_miner
Bitcoin privacy features insufficient,negative,2024-01-27 09:22:00,fiat_escapist
Sold all my Bitcoin. Moving to stocks,negative,2024-01-27 09:38:00,cold_storage
Whale wallets controlling Bitcoin price,negative,2024-01-27 10:06:00,gold_bug_btc
Orange coin made me financially independent,positive,2024-01-27 11:01:00,nakamoto_institute
Coins moved on-chain: 83595 BTC,neutral,2024-01-27 11:58:00,mining_pro
Bitcoin ETF approval coming soon. This is huge!,positive,2024-01-27 12:04:00,technical_trader
Optimistic about Bitcoin scaling solutions,positive,2024-01-27 13:01:00,mining_pool
Coinbase premium: 15% currently,neutral,2024-01-27 13:29:00,exchange_dev
Just bought more Bitcoin! Feeling bullish,positive,2024-01-27 13:56:00,early_adopter
Excited about Bitcoin halving next year!,positive,2024-01-27 14:32:00,crypto_news
Institutional selling pressure on Bitcoin,negative,2024-01-27 15:04:00,market_maker
Bitcoin circular economy growing in El Salvador,positive,2024-01-27 15:32:00,bull_trader
Mt Gox distribution will crash Bitcoin price,negative,2024-01-27 16:04:00,austrian_economist
Bitcoin creating generational wealth for hodlers,positive,2024-01-27 16:20:00,exchange_dev
Never selling my Bitcoin. Passing it to my kids,positive,2024-01-27 16:42:00,sats_stacker
Bitcoin accepted at 33168 merchants worldwide,positive,2024-01-27 17:07:00,mining_dev
Finally convinced my family to buy Bitcoin,positive,2024-01-27 17:59:00,lightning_node
Bitcoin losing market share to altcoins,negative,2024-01-27 18:43:00,retail_investor
Just bought more Bitcoin! Feeling bullish,positive,2024-01-27 19:33:00,deflation_lover
Bitcoin whitepaper anniversary today. 9 years,neutral,2024-01-27 19:50:00,privacy_maxi
Lost my Bitcoin in a boating accident. So sad,negative,2024-01-27 19:59:00,trader_joe
Bitcoin network stronger than ever before,positive,2024-01-27 20:01:00,bitcoin_standard
Regulatory crackdown will kill Bitcoin,negative,2024-01-27 20:39:00,btc_unlimited
Bitcoin only useful for criminals and dark web,negative,2024-01-27 21:26:00,spot_trader
Energy consumption of Bitcoin is destroying planet,negative,2024-01-27 22:09:00,silver_to_btc
Finally convinced my family to buy Bitcoin,positive,2024-01-27 22:37:00,technical_trader
Bullish on Bitcoin fundamentals long term,positive,2024-01-27 23:17:00,dca_investor
Bitcoin is going to the moon! Best investment ever,positive,2024-01-28 00:07:00,exchange_dev
Bitcoin hash ribbons indicator neutral now,neutral,2024-01-28 00:58:00,kyc_hater
Bitcoin accepted at 1517 merchants worldwide,positive,2024-01-28 01:17:00,difficulty_watcher
Bitcoin environmental impact is unsustainable,negative,2024-01-28 01:23:00,chart_master
Miner revenue today: $25 million,neutral,2024-01-28 01:56:00,technical_trader
Watching Bitcoin price discovery is exciting,positive,2024-01-28 02:15:00,security_first
Whale wallets controlling Bitcoin price,negative,2024-01-28 02:20:00,lightning_node
This volatility is killing me. Can't handle BTC anymore,negative,2024-01-28 02:50:00,gold_bug_btc
Best performing asset of last decade: Bitcoin,positive,2024-01-28 03:41:00,lightning_wallet
Bitcoin block time averaging 10 minutes as usual,neutral,2024-01-28 03:50:00,wallet_dev
Security breaches making Bitcoin unsafe,negative,2024-01-28 04:46:00,bull_trader
Not your keys not your coins. Self custody!,positive,2024-01-28 05:37:00,defi_explorer
Bitcoin difficulty adjustment in 1390 days,neutral,2024-01-28 05:48:00,boomer_hodler
Mining pools controlling too much Bitcoin hashrate,negative,2024-01-28 05:52:00,arbitrage_king
Not your keys not your coins. Self custody!,positive,2024-01-28 06:36:00,mining_pro
Bitcoin fixes everything. Hard money wins,positive,2024-01-28 07:30:00,brain_wallet
21 million Bitcoin supply cap is hardcoded,neutral,2024-01-28 07:48:00,satoshi_fan
Bitcoin exchange reserves: 79815 BTC,neutral,2024-01-28 08:46:00,pseudonymous_dev
Daily Bitcoin transactions averaging 19424k,neutral,2024-01-28 09:46:00,spot_trader
Bitcoin accepted at 12172 merchants worldwide,positive,2024-01-28 10:39:00,singlesig_simple
Current block height is 801699,neutral,2024-01-28 11:24:00,privacy_maxi
I lost so much money on BTC. This is terrible,negative,2024-01-28 11:53:00,swing_trader
Bitcoin empowers individuals worldwide,positive,2024-01-28 12:53:00,scalper_pro
Bitcoin mining difficulty increased by 40%,neutral,2024-01-28 13:44:00,privacy_advocate
NVT ratio currently: 25.7,neutral,2024-01-28 14:14:00,halving_counter
Excited about Bitcoin halving next year!,positive,2024-01-28 14:23:00,sats_stacker
Realized profit loss ratio: 1.94,neutral,2024-01-28 14:56:00,payment_network
Mining rewards declining makes Bitcoin vulnerable,negative,2024-01-28 15:28:00,dao_member
Average confirmation time: 10 minutes,neutral,2024-01-28 15:41:00,multisig_user
Watching Bitcoin price discovery is exciting,positive,2024-01-28 16:06:00,non_custodial
Bitcoin on-chain metrics showing accumulation,neutral,2024-01-28 16:27:00,cold_storage
NVT ratio currently: 92.13,neutral,2024-01-28 16:52:00,lightning_dev
Bitcoin accepted at 38445 merchants worldwide,positive,2024-01-28 17:21:00,bitcoin_teacher
Ordinals using Bitcoin blockchain for NFTs,neutral,2024-01-28 17:51:00,satoshi_fan
Grateful for Satoshi Nakamoto every single day,positive,2024-01-28 18:15:00,chart_master
Bitcoin price consolidating around 59k,neutral,2024-01-28 18:46:00,non_custodial
Just bought more Bitcoin! Feeling bullish,positive,2024-01-28 19:15:00,payment_network
Bitcoin is freedom money. Period,positive,2024-01-28 19:52:00,multisig_user
Mining rewards declining makes Bitcoin vulnerable,negative,2024-01-28 20:05:00,whale_watcher
El Salvador Bitcoin experiment is working great,positive,2024-01-28 20:30:00,defi_explorer
Mining rewards declining makes Bitcoin vulnerable,negative,2024-01-28 21:04:00,scalper_pro
Bitcoin failing as peer to peer currency,negative,2024-01-28 21:11:00,asic_farmer
Bitcoin price consolidating around 33k,neutral,2024-01-28 21:28:00,defi_explorer
Bitcoin halving countdown: 350 days remaining,neutral,2024-01-28 21:33:00,lightning_fan
Security breaches making Bitcoin unsafe,negative,2024-01-28 21:45:00,nft_collector
Bitcoin correlation with stocks increasing,negative,2024-01-28 21:51:00,hodler_mike
Bitcoin beach in El Salvador is amazing,positive,2024-01-28 22:19:00,on_chain_guy
Mempool size: 211 MB currently,neutral,2024-01-28 22:39:00,exchange_dev
Mining rewards declining makes Bitcoin vulnerable,negative,2024-01-28 22:41:00,hardware_wallet
21 million Bitcoin supply cap is hardcoded,neutral,2024-01-28 22:51:00,mining_pool
Losing faith in Bitcoin after this crash,negative,2024-01-28 23:30:00,mining_pool
Proudly part of the Bitcoin revolution,positive,2024-01-28 23:50:00,bull_trader
Orange coin made me financially independent,positive,2024-01-28 23:52:00,wallet_dev
I lost so much money on BTC. This is terrible,negative,2024-01-29 00:51:00,spot_trader
Bitcoin rainbow chart suggests accumulation phase,neutral,2024-01-29 01:24:00,open_source
Never selling my Bitcoin. Passing it to my kids,positive,2024-01-29 02:14:00,node_runner
Bitcoin is freedom money. Period,positive,2024-01-29 02:51:00,mining_dev
Financial freedom through Bitcoin. Nothing better,positive,2024-01-29 03:37:00,maximalist_tom
Strike app makes Bitcoin payments so easy,positive,2024-01-29 04:02:00,on_chain_guy
This bull run will be epic! Bitcoin to 77k,positive,2024-01-29 04:51:00,market_maker
Strike app makes Bitcoin payments so easy,positive,2024-01-29 05:47:00,digital_gold
Bitcoin energy waste is inexcusable,negative,2024-01-29 06:47:00,gold_bug_btc
Bought the dip again! DCA strategy works,positive,2024-01-29 07:03:00,crypto_coach
Network difficulty retarget in 329 hours,neutral,2024-01-29 07:59:00,dao_member
El Salvador Bitcoin experiment is working great,positive,2024-01-29 08:36:00,lightning_node
Bullish on Bitcoin fundamentals long term,positive,2024-01-29 08:57:00,early_adopter
Excited about Bitcoin halving next year!,positive,2024-01-29 09:43:00,mining_pool
Bitcoin fixes everything. Hard money wins,positive,2024-01-29 10:30:00,boomer_hodler
Realized profit loss ratio: 1.48,neutral,2024-01-29 10:54:00,btc_unlimited
Bitcoin accepted at 49837 merchants worldwide,positive,2024-01-29 11:02:00,bitcoin_teacher
Total value locked in Bitcoin DeFi protocols,neutral,2024-01-29 11:39:00,base_layer
Grateful for Satoshi Nakamoto every single day,positive,2024-01-29 12:33:00,layer_two
Bitcoin hash ribbons indicator neutral now,neutral,2024-01-29 13:06:00,retail_investor
Not your keys not your coins. Self custody!,positive,2024-01-29 13:49:00,sats_stacker
Bitcoin hashrate: 383 EH/s currently,neutral,2024-01-29 13:55:00,financial_freedom
Bitcoin market cap is 526 billion dollars,neutral,2024-01-29 14:03:00,store_of_value
Bitcoin whitepaper anniversary today. 6 years,neutral,2024-01-29 14:41:00,fiat_escapist
Bitcoin is the exit from the broken system,positive,2024-01-29 15:25:00,sound_money
Orange pilling friends and family successfully,positive,2024-01-29 15:45:00,singlesig_simple
Energy consumption of Bitcoin is destroying planet,negative,2024-01-29 16:45:00,bitcoin_knots
Bitcoin failing store of value test,negative,2024-01-29 16:56:00,privacy_maxi
Bitcoin conference in Miami was incredible,positive,2024-01-29 17:27:00,institutional_buyer
Bitcoin privacy improving with coinjoin adoption,positive,2024-01-29 17:28:00,mining_pro
Current Bitcoin mempool has 24542k transactions,neutral,2024-01-29 18:11:00,nakamoto_institute
Bitcoin rainbow chart suggests accumulation phase,neutral,2024-01-29 18:43:00,unit_of_account
Bitcoin fixes everything. Hard money wins,positive,2024-01-29 19:11:00,silver_to_btc
Bitcoin difficulty adjustment in 394 days,neutral,2024-01-29 19:52:00,singlesig_simple
Wash trading inflating Bitcoin volumes,negative,2024-01-29 19:56:00,sound_money
Bitcoin represents hope for unbanked millions,positive,2024-01-29 20:13:00,fiat_escapist
Sold all my Bitcoin. Moving to stocks,negative,2024-01-29 21:01:00,hardware_wallet
Daily Bitcoin transactions averaging 28459k,neutral,2024-01-29 21:59:00,full_node_operator
Bitcoin network hashrate at all-time high,neutral,2024-01-29 22:55:00,sound_money
Quantum threat to Bitcoin is real,negative,2024-01-29 23:12:00,retail_investor
Hyperbitcoinization is inevitable. Fiat dies,positive,2024-01-29 23:13:00,non_custodial
Bitcoin halving excitement is building up,positive,2024-01-29 23:55:00,financial_freedom
Orange coin good! HODL forever,positive,2024-01-30 00:27:00,bitcoin_knots
Coins moved on-chain: 97486 BTC,neutral,2024-01-30 00:29:00,technical_trader
Quantum computers will break Bitcoin encryption,negative,2024-01-30 00:51:00,silver_to_btc
Bitcoin beach in El Salvador is amazing,positive,2024-01-30 01:33:00,boomer_hodler
Green candles everywhere! Bitcoin pumping hard,positive,2024-01-30 01:43:00,security_first
Bitcoin average block size is 158 MB today,neutral,2024-01-30 02:11:00,bitcoin_knots
Best performing asset of last decade: Bitcoin,positive,2024-01-30 02:49:00,bitcoin_core
Bitcoin solving real world problems daily,positive,2024-01-30 02:59:00,unit_of_account
Average Bitcoin transaction size is 170 bytes,neutral,2024-01-30 03:09:00,lightning_fan
Bitcoin empowers individuals worldwide,positive,2024-01-30 03:10:00,asic_farmer
Bitcoin gave me hope for the future,positive,2024-01-30 03:22:00,protocol_dev
BTC dominance falling. Altcoin season coming,negative,2024-01-30 03:33:00,medium_of_exchange
Bitcoin bubble popped. Never coming back,negative,2024-01-30 03:56:00,lightning_dev
Bitcoin transaction fees are 8.6 dollars today,neutral,2024-01-30 04:40:00,keynesian_critic
Regulatory crackdown will kill Bitcoin,negative,2024-01-30 04:56:00,defi_explorer
Governments will ban Bitcoin eventually,negative,2024-01-30 05:13:00,gold_bug_btc
Excited about Bitcoin halving next year!,positive,2024-01-30 05:53:00,custodial_service
Proof of reserves shows Bitcoin strength,positive,2024-01-30 06:40:00,dca_investor
Bitcoin taught me patience and discipline,positive,2024-01-30 06:43:00,cold_storage
Bitcoin reaching new all time highs soon,positive,2024-01-30 06:57:00,security_first
Lost my Bitcoin in a boating accident. So sad,negative,2024-01-30 07:48:00,cold_storage
21 million Bitcoin supply cap is hardcoded,neutral,2024-01-30 07:55:00,chart_master
Lightning Network capacity at 72141 BTC,neutral,2024-01-30 08:22:00,hash_power
Another exchange hack. Bitcoin is not safe,negative,2024-01-30 09:22:00,mining_pro
Optimistic about Bitcoin scaling solutions,positive,2024-01-30 10:17:00,gold_bug_btc
Bitcoin empowers individuals worldwide,positive,2024-01-30 11:08:00,lightning_node
Wash trading inflating Bitcoin volumes,negative,2024-01-30 11:42:00,bear_market_bob
Coinbase premium: 2% currently,neutral,2024-01-30 12:28:00,medium_of_exchange
Bitcoin difficulty adjustment in 252 days,neutral,2024-01-30 12:46:00,lightning_fan
Active Bitcoin addresses: 21551 million,neutral,2024-01-30 12:51:00,fiat_escapist
Bitcoin environmental impact is unsustainable,negative,2024-01-30 13:30:00,btc_analyst
Optimistic about Bitcoin scaling solutions,positive,2024-01-30 13:58:00,sound_money
Wash trading inflating Bitcoin volumes,negative,2024-01-30 14:37:00,solo_miner
Bitcoin is freedom money. Period,positive,2024-01-30 14:45:00,futures_guy
This bull run will be epic! Bitcoin to 57k,positive,2024-01-30 15:10:00,boomer_hodler
Mempool size: 51 MB currently,neutral,2024-01-30 15:39:00,bull_trader
Bitcoin complexity keeps masses away,negative,2024-01-30 15:46:00,difficulty_watcher
El Salvador Bitcoin experiment is working great,positive,2024-01-30 15:50:00,trader_joe
Average confirmation time: 11 minutes,neutral,2024-01-30 16:50:00,maximalist_tom
Bitcoin fixes everything. Hard money wins,positive,2024-01-30 17:07:00,exchange_dev
Realized profit loss ratio: 0.75,neutral,2024-01-30 17:49:00,crypto_skeptic
Volatility makes Bitcoin terrible money,negative,2024-01-30 18:46:00,dca_investor
BTC dominance falling. Altcoin season coming,negative,2024-01-30 19:04:00,lightning_node
Average Bitcoin transaction size is 106 bytes,neutral,2024-01-30 19:41:00,millennial_investor
Regulatory crackdown will kill Bitcoin,negative,2024-01-30 20:14:00,pseudonymous_dev
Total value locked in Bitcoin DeFi protocols,neutral,2024-01-30 20:53:00,validator_node
Bitcoin standard is coming. Get ready,positive,2024-01-30 21:28:00,financial_freedom
Accumulating Bitcoin is the best strategy,positive,2024-01-30 21:30:00,crypto_coach
Average confirmation time: 8 minutes,neutral,2024-01-30 21:43:00,sats_stacker
Bitcoin is going to the moon! Best investment ever,positive,2024-01-30 21:48:00,institutional_buyer
Lost my Bitcoin in a boating accident. So sad,negative,2024-01-30 21:58:00,bitcoin_knots
Financial freedom through Bitcoin. Nothing better,positive,2024-01-30 22:42:00,exchange_dev
Best performing asset of last decade: Bitcoin,positive,2024-01-30 23:10:00,keynesian_critic
Bitcoin is going to the moon! Best investment ever,positive,2024-01-30 23:36:00,security_first
Too many Bitcoin scams ruining reputation,negative,2024-01-31 00:10:00,early_adopter
Bitcoin losing market share to altcoins,negative,2024-01-31 00:41:00,btc_analyst
Bitcoin energy waste is inexcusable,negative,2024-01-31 01:34:00,protocol_dev
Bitcoin market cap is 1123 billion dollars,neutral,2024-01-31 01:53:00,austrian_economist
MicroStrategy bought more Bitcoin! Saylor knows,positive,2024-01-31 02:05:00,non_custodial
Hyperbitcoinization is inevitable. Fiat dies,positive,2024-01-31 02:43:00,layer_two
Sold all my Bitcoin. Moving to stocks,negative,2024-01-31 03:23:00,financial_freedom
Bitcoin on-chain metrics showing accumulation,neutral,2024-01-31 04:11:00,bear_market_bob
Bitcoin price consolidating around 47k,neutral,2024-01-31 04:48:00,gold_bug_btc
Orange coin made me financially independent,positive,2024-01-31 05:48:00,financial_freedom
Bitcoin mining pool distribution chart updated,neutral,2024-01-31 06:15:00,retired_early
BTC dominance falling. Altcoin season coming,negative,2024-01-31 07:02:00,sats_stacker
Bitcoin stock to flow ratio: 1.88,neutral,2024-01-31 07:06:00,solo_miner
Inflation hedge narrative failed for Bitcoin,negative,2024-01-31 07:43:00,sats_stacker
Security breaches making Bitcoin unsafe,negative,2024-01-31 07:57:00,inflation_hedge
Bitcoin empowers individuals worldwide,positive,2024-01-31 08:11:00,maximalist_tom
Orange coin made me financially independent,positive,2024-01-31 08:29:00,paper_wallet
Just bought more Bitcoin! Feeling bullish,positive,2024-01-31 08:43:00,lightning_dev
Bitcoin average block size is 59 MB today,neutral,2024-01-31 08:52:00,trader_joe
Quantum threat to Bitcoin is real,negative,2024-01-31 09:46:00,retired_early
