text,sentiment,timestamp,user,text_length,word_count
Bitcoin accepted at 16880 merchants worldwide,positive,2024-01-25 12:16:00,fiat_escapist,45,6
Bullish on Bitcoin fundamentals long term,positive,2024-01-25 12:39:00,paper_wallet,41,6
Bitcoin only useful for criminals and dark web,negative,2024-01-25 12:59:00,bitcoin_standard,46,8
Orange coin good! HODL forever,positive,2024-01-25 13:38:00,node_runner,30,5
Active Bitcoin addresses: 19362 million,neutral,2024-01-25 14:30:00,crypto_news,39,5
Bitcoin transaction confirmations too slow,negative,2024-01-25 15:29:00,hardware_wallet,42,5
Optimistic about Bitcoin scaling solutions,positive,2024-01-25 16:05:00,store_of_value,42,5
This bull run will be epic! Bitcoin to 33k,positive,2024-01-25 16:45:00,yield_farmer,42,9
Lightning Network channels: 29788 active,neutral,2024-01-25 17:00:00,protocol_dev,40,5
Coins moved on-chain: 58613 BTC,neutral,2024-01-25 17:29:00,austrian_economist,31,5
Unconfirmed transactions: 30602 in mempool,neutral,2024-01-25 18:28:00,bitcoin_dev,42,5
Unconfirmed transactions: 47283 in mempool,neutral,2024-01-25 18:45:00,position_trader,42,5
Bitcoin is the exit from the broken system,positive,2024-01-25 18:57:00,exchange_dev,42,8
Ordinals using Bitcoin blockchain for NFTs,neutral,2024-01-25 19:39:00,dca_investor,42,6
Bitcoin scams everywhere. Can't trust anyone,negative,2024-01-25 20:35:00,brain_wallet,44,6
Too many Bitcoin scams ruining reputation,negative,2024-01-25 20:57:00,liquidity_provider,41,6
Bitcoin failing store of value test,negative,2024-01-25 21:51:00,market_maker,35,6
Bitcoin inflation rate: 18% annually,neutral,2024-01-25 22:35:00,scalper_pro,36,5
Bitcoin realized cap: $88965 billion,neutral,2024-01-25 23:51:00,self_custody,36,5
Bitcoin blockchain size reached 278 GB,neutral,2024-01-26 00:14:00,unit_of_account,38,6
Bitcoin exchange reserves: 92566 BTC,neutral,2024-01-26 00:40:00,options_trader,36,5
Bitcoin Puell Multiple reading: 17.16,neutral,2024-01-26 00:55:00,early_adopter,37,5
Watching Bitcoin price discovery is exciting,positive,2024-01-26 01:21:00,bitcoin_core,44,6
Not your keys not your coins. Self custody!,positive,2024-01-26 01:56:00,anon_trader,43,8
Bitcoin fees too high for small transactions,negative,2024-01-26 02:03:00,paper_wallet,44,7
21 million Bitcoin supply cap is hardcoded,neutral,2024-01-26 02:31:00,medium_of_exchange,42,7
Bitcoin network congestion frustrating users,negative,2024-01-26 03:27:00,austrian_economist,44,5
Bitcoin mining becoming unprofitable for many,negative,2024-01-26 04:39:00,layer_two,45,6
Tether FUD spreading again. Bitcoin going down,negative,2024-01-26 05:10:00,layer_two,46,7
Bitcoin hash ribbons indicator neutral now,neutral,2024-01-26 05:53:00,bitcoin_standard,42,6
Excited about Bitcoin halving next year!,positive,2024-01-26 06:40:00,liquidity_provider,40,6
Sold all my Bitcoin. Moving to stocks,negative,2024-01-26 08:16:00,open_source,37,7
Strike app makes Bitcoin payments so easy,positive,2024-01-26 09:06:00,mempool_observer,41,7
Best decision ever was buying Bitcoin in 2016,positive,2024-01-26 09:13:00,chart_master,45,8
Governments successfully attacking Bitcoin,negative,2024-01-26 09:39:00,bitcoin_knots,42,4
Bitcoin bubble popped. Never coming back,negative,2024-01-26 10:28:00,exchange_dev,40,6
Never selling my Bitcoin. Passing it to my kids,positive,2024-01-26 10:33:00,medium_of_exchange,47,9
Living on Bitcoin for 10 years now. Amazing,positive,2024-01-26 12:12:00,bull_trader,43,8
Active Bitcoin addresses: 16679 million,neutral,2024-01-26 12:26:00,early_adopter,39,5
Bitcoin environmental impact is unsustainable,negative,2024-01-26 13:22:00,wallet_dev,45,5
Bitcoin inflation rate: 48% annually,neutral,2024-01-26 13:44:00,paper_wallet,36,5
Lightning Network makes Bitcoin amazing for payments,positive,2024-01-26 14:05:00,yield_farmer,52,7
This volatility is killing me. Can't handle BTC anymore,negative,2024-01-26 14:27:00,privacy_advocate,55,9
Average Bitcoin transaction size is 125 bytes,neutral,2024-01-26 15:50:00,inflation_hedge,45,7
Bitcoin Puell Multiple reading: 69.84,neutral,2024-01-26 16:40:00,maximalist_tom,37,5
Bitcoin realized cap: $85957 billion,neutral,2024-01-26 17:20:00,scalper_pro,36,5
Carbon footprint of Bitcoin is unacceptable,negative,2024-01-26 19:21:00,sats_stacker,43,6
Bitcoin losing market share to altcoins,negative,2024-01-26 20:17:00,brain_wallet,39,6
Bitcoin mining pools have too much power,negative,2024-01-26 20:38:00,hardware_wallet,40,7
Bitcoin reaching new all time highs soon,positive,2024-01-26 20:49:00,bitcoin_knots,40,7
HODL waves showing 25% held over 1 year,neutral,2024-01-26 21:35:00,settlement_layer,39,8
Bitcoin difficulty adjustment in 559 days,neutral,2024-01-26 22:40:00,crypto_news,41,6
Technical debt accumulating in Bitcoin,negative,2024-01-27 00:04:00,protocol_dev,38,5
Bitcoin taught me patience and discipline,positive,2024-01-27 01:37:00,deflation_lover,41,6
Green candles everywhere! Bitcoin pumping hard,positive,2024-01-27 01:49:00,nakamoto_institute,46,6
Orange coin made me financially independent,positive,2024-01-27 02:21:00,technical_trader,43,6
Bitcoin transaction fees are 7.4 dollars today,neutral,2024-01-27 03:04:00,privacy_maxi,46,7
Bitcoin standard is coming. Get ready,positive,2024-01-27 03:27:00,gold_bug_btc,37,6
Hyperbitcoinization is inevitable. Fiat dies,positive,2024-01-27 05:59:00,liquidity_provider,44,5
Bitcoin scalability issues never solved,negative,2024-01-27 07:10:00,inflation_hedge,39,5
Bitcoin nodes distributed across 145 countries,neutral,2024-01-27 08:01:00,mempool_observer,46,6
Average Bitcoin transaction size is 161 bytes,neutral,2024-01-27 08:35:00,gpu_miner,45,7
Bitcoin privacy features insufficient,negative,2024-01-27 09:22:00,fiat_escapist,37,4
Whale wallets controlling Bitcoin price,negative,2024-01-27 10:06:00,gold_bug_btc,39,5
Coins moved on-chain: 83595 BTC,neutral,2024-01-27 11:58:00,mining_pro,31,5
Coinbase premium: 15% currently,neutral,2024-01-27 13:29:00,exchange_dev,31,4
Just bought more Bitcoin! Feeling bullish,positive,2024-01-27 13:56:00,early_adopter,41,6
Institutional selling pressure on Bitcoin,negative,2024-01-27 15:04:00,market_maker,41,5
Mt Gox distribution will crash Bitcoin price,negative,2024-01-27 16:04:00,austrian_economist,44,7
Bitcoin accepted at 33168 merchants worldwide,positive,2024-01-27 17:07:00,mining_dev,45,6
Bitcoin whitepaper anniversary today. 9 years,neutral,2024-01-27 19:50:00,privacy_maxi,45,6
Lost my Bitcoin in a boating accident. So sad,negative,2024-01-27 19:59:00,trader_joe,45,9
Bitcoin network stronger than ever before,positive,2024-01-27 20:01:00,bitcoin_standard,41,6
Regulatory crackdown will kill Bitcoin,negative,2024-01-27 20:39:00,btc_unlimited,38,5
Energy consumption of Bitcoin is destroying planet,negative,2024-01-27 22:09:00,silver_to_btc,50,7
Bitcoin is going to the moon! Best investment ever,positive,2024-01-28 00:07:00,exchange_dev,50,9
Bitcoin accepted at 1517 merchants worldwide,positive,2024-01-28 01:17:00,difficulty_watcher,44,6
Miner revenue today: $25 million,neutral,2024-01-28 01:56:00,technical_trader,32,5
Best performing asset of last decade: Bitcoin,positive,2024-01-28 03:41:00,lightning_wallet,45,7
Bitcoin block time averaging 10 minutes as usual,neutral,2024-01-28 03:50:00,wallet_dev,48,8
Security breaches making Bitcoin unsafe,negative,2024-01-28 04:46:00,bull_trader,39,5
Bitcoin difficulty adjustment in 1390 days,neutral,2024-01-28 05:48:00,boomer_hodler,42,6
Mining pools controlling too much Bitcoin hashrate,negative,2024-01-28 05:52:00,arbitrage_king,50,7
Bitcoin fixes everything. Hard money wins,positive,2024-01-28 07:30:00,brain_wallet,41,6
Bitcoin exchange reserves: 79815 BTC,neutral,2024-01-28 08:46:00,pseudonymous_dev,36,5
Daily Bitcoin transactions averaging 19424k,neutral,2024-01-28 09:46:00,spot_trader,43,5
Bitcoin accepted at 12172 merchants worldwide,positive,2024-01-28 10:39:00,singlesig_simple,45,6
Current block height is 801699,neutral,2024-01-28 11:24:00,privacy_maxi,30,5
Bitcoin mining difficulty increased by 40%,neutral,2024-01-28 13:44:00,privacy_advocate,42,6
NVT ratio currently: 25.7,neutral,2024-01-28 14:14:00,halving_counter,25,4
Realized profit loss ratio: 1.94,neutral,2024-01-28 14:56:00,payment_network,32,5
Mining rewards declining makes Bitcoin vulnerable,negative,2024-01-28 15:28:00,dao_member,49,6
Average confirmation time: 10 minutes,neutral,2024-01-28 15:41:00,multisig_user,37,5
Bitcoin on-chain metrics showing accumulation,neutral,2024-01-28 16:27:00,cold_storage,45,5
NVT ratio currently: 92.13,neutral,2024-01-28 16:52:00,lightning_dev,26,4
Bitcoin accepted at 38445 merchants worldwide,positive,2024-01-28 17:21:00,bitcoin_teacher,45,6
Bitcoin price consolidating around 59k,neutral,2024-01-28 18:46:00,non_custodial,38,5
Bitcoin is freedom money. Period,positive,2024-01-28 19:52:00,multisig_user,32,5
Bitcoin price consolidating around 33k,neutral,2024-01-28 21:28:00,defi_explorer,38,5
Bitcoin halving countdown: 350 days remaining,neutral,2024-01-28 21:33:00,lightning_fan,45,6
Mempool size: 211 MB currently,neutral,2024-01-28 22:39:00,exchange_dev,30,5
Losing faith in Bitcoin after this crash,negative,2024-01-28 23:30:00,mining_pool,40,7
Proudly part of the Bitcoin revolution,positive,2024-01-28 23:50:00,bull_trader,38,6
This bull run will be epic! Bitcoin to 77k,positive,2024-01-29 04:51:00,market_maker,42,9
Bitcoin energy waste is inexcusable,negative,2024-01-29 06:47:00,gold_bug_btc,35,5
Network difficulty retarget in 329 hours,neutral,2024-01-29 07:59:00,dao_member,40,6
Realized profit loss ratio: 1.48,neutral,2024-01-29 10:54:00,btc_unlimited,32,5
Bitcoin accepted at 49837 merchants worldwide,positive,2024-01-29 11:02:00,bitcoin_teacher,45,6
Bitcoin hashrate: 383 EH/s currently,neutral,2024-01-29 13:55:00,financial_freedom,36,5
Bitcoin market cap is 526 billion dollars,neutral,2024-01-29 14:03:00,store_of_value,41,7
Bitcoin whitepaper anniversary today. 6 years,neutral,2024-01-29 14:41:00,fiat_escapist,45,6
Bitcoin conference in Miami was incredible,positive,2024-01-29 17:27:00,institutional_buyer,42,6
Bitcoin privacy improving with coinjoin adoption,positive,2024-01-29 17:28:00,mining_pro,48,6
Current Bitcoin mempool has 24542k transactions,neutral,2024-01-29 18:11:00,nakamoto_institute,47,6
Bitcoin difficulty adjustment in 394 days,neutral,2024-01-29 19:52:00,singlesig_simple,41,6
Wash trading inflating Bitcoin volumes,negative,2024-01-29 19:56:00,sound_money,38,5
Daily Bitcoin transactions averaging 28459k,neutral,2024-01-29 21:59:00,full_node_operator,43,5
Bitcoin network hashrate at all-time high,neutral,2024-01-29 22:55:00,sound_money,41,6
Coins moved on-chain: 97486 BTC,neutral,2024-01-30 00:29:00,technical_trader,31,5
Quantum computers will break Bitcoin encryption,negative,2024-01-30 00:51:00,silver_to_btc,47,6
Bitcoin average block size is 158 MB today,neutral,2024-01-30 02:11:00,bitcoin_knots,42,8
Average Bitcoin transaction size is 170 bytes,neutral,2024-01-30 03:09:00,lightning_fan,45,7
Bitcoin gave me hope for the future,positive,2024-01-30 03:22:00,protocol_dev,35,7
BTC dominance falling. Altcoin season coming,negative,2024-01-30 03:33:00,medium_of_exchange,44,6
Bitcoin transaction fees are 8.6 dollars today,neutral,2024-01-30 04:40:00,keynesian_critic,46,7
Governments will ban Bitcoin eventually,negative,2024-01-30 05:13:00,gold_bug_btc,39,5
Proof of reserves shows Bitcoin strength,positive,2024-01-30 06:40:00,dca_investor,40,6
Lightning Network capacity at 72141 BTC,neutral,2024-01-30 08:22:00,hash_power,39,6
Another exchange hack. Bitcoin is not safe,negative,2024-01-30 09:22:00,mining_pro,42,7
Coinbase premium: 2% currently,neutral,2024-01-30 12:28:00,medium_of_exchange,30,4
Bitcoin difficulty adjustment in 252 days,neutral,2024-01-30 12:46:00,lightning_fan,41,6
Active Bitcoin addresses: 21551 million,neutral,2024-01-30 12:51:00,fiat_escapist,39,5
This bull run will be epic! Bitcoin to 57k,positive,2024-01-30 15:10:00,boomer_hodler,42,9
Mempool size: 51 MB currently,neutral,2024-01-30 15:39:00,bull_trader,29,5
Bitcoin complexity keeps masses away,negative,2024-01-30 15:46:00,difficulty_watcher,36,5
Average confirmation time: 11 minutes,neutral,2024-01-30 16:50:00,maximalist_tom,37,5
Realized profit loss ratio: 0.75,neutral,2024-01-30 17:49:00,crypto_skeptic,32,5
Volatility makes Bitcoin terrible money,negative,2024-01-30 18:46:00,dca_investor,39,5
Average Bitcoin transaction size is 106 bytes,neutral,2024-01-30 19:41:00,millennial_investor,45,7
Accumulating Bitcoin is the best strategy,positive,2024-01-30 21:30:00,crypto_coach,41,6
Average confirmation time: 8 minutes,neutral,2024-01-30 21:43:00,sats_stacker,36,5
Bitcoin market cap is 1123 billion dollars,neutral,2024-01-31 01:53:00,austrian_economist,42,7
Bitcoin price consolidating around 47k,neutral,2024-01-31 04:48:00,gold_bug_btc,38,5
Bitcoin stock to flow ratio: 1.88,neutral,2024-01-31 07:06:00,solo_miner,33,6
Bitcoin average block size is 59 MB today,neutral,2024-01-31 08:52:00,trader_joe,41,8
Bitcoin difficulty adjustment in 964 days,neutral,2024-01-31 11:17:00,boomer_hodler,41,6
Bitcoin at 40k. Same as yesterday,neutral,2024-01-31 12:11:00,layer_two,33,6
Bitcoin market cap is 811 billion dollars,neutral,2024-01-31 13:24:00,bull_trader,41,7
Bitcoin fear and greed index: 72.4,neutral,2024-01-31 13:32:00,market_maker,34,6
Bitcoin blockchain size reached 236 GB,neutral,2024-01-31 18:14:00,privacy_maxi,38,6
This bull run will be epic! Bitcoin to 32k,positive,2024-01-31 18:36:00,privacy_advocate,42,9
Bitcoin segwit adoption rate is 47 percent,neutral,2024-01-31 19:35:00,lightning_node,42,7
Coins moved on-chain: 98340 BTC,neutral,2024-01-31 20:23:00,on_chain_guy,31,5
Bitcoin mining difficulty at 81 trillion,neutral,2024-01-31 21:46:00,bitcoin_knots,40,6
Bitcoin transaction fees are 4.4 dollars today,neutral,2024-01-31 22:24:00,crypto_coach,46,7
Bitcoin at 51k. Same as yesterday,neutral,2024-01-31 23:42:00,technical_trader,33,6
Mempool size: 287 MB currently,neutral,2024-02-01 01:45:00,lightning_wallet,30,5
Bitcoin price consolidating around 80k,neutral,2024-02-01 02:06:00,retail_investor,38,5
Bitcoin is a ponzi scheme. Change my mind,negative,2024-02-01 03:40:00,fiat_escapist,41,8
Bitcoin Core version 26.0 released yesterday,neutral,2024-02-01 06:42:00,nakamoto_institute,44,6
Bitcoin halving countdown: 447 days remaining,neutral,2024-02-01 07:27:00,deflation_lover,45,6
Bitcoin Puell Multiple reading: 2.27,neutral,2024-02-01 08:08:00,validator_node,36,5
Bitcoin Core version 25.1 released yesterday,neutral,2024-02-01 08:39:00,crypto_coach,44,6
Bitcoin mining difficulty at 64 trillion,neutral,2024-02-01 10:19:00,maximalist_tom,40,6
Bitcoin UTXO set size reached 27507 million,neutral,2024-02-01 11:22:00,dca_investor,43,7
Bitcoin market cap is 1004 billion dollars,neutral,2024-02-01 12:10:00,singlesig_simple,42,7
Miner revenue today: $31 million,neutral,2024-02-01 13:03:00,paper_wallet,32,5
Living on Bitcoin for 5 years now. Amazing,positive,2024-02-01 13:30:00,hodler_mike,42,8
This bull run will be epic! Bitcoin to 66k,positive,2024-02-01 15:16:00,sats_stacker,42,9
Bitcoin realized cap: $66838 billion,neutral,2024-02-01 17:46:00,mining_dev,36,5
Bitcoin accepted at 31410 merchants worldwide,positive,2024-02-01 17:57:00,options_trader,45,6
Regulatory uncertainty killing Bitcoin momentum,negative,2024-02-01 18:44:00,hash_power,47,5
Bitcoin at 90k. Same as yesterday,neutral,2024-02-01 19:06:00,protocol_dev,33,6
Bitcoin changing lives around the world,positive,2024-02-01 19:52:00,sound_money,39,6
Bitcoin mining centralization worrying trend,negative,2024-02-01 20:41:00,crypto_coach,44,5
Total Bitcoin addresses with balance: 49741 million,neutral,2024-02-01 21:18:00,singlesig_simple,51,7
Bitcoin hashrate: 541 EH/s currently,neutral,2024-02-02 01:45:00,singlesig_simple,36,5
Bitcoin accepted at 27790 merchants worldwide,positive,2024-02-02 03:04:00,settlement_layer,45,6
Bitcoin inflation rate: 29% annually,neutral,2024-02-02 03:52:00,arbitrage_king,36,5
Laser eyes until 100k! Bitcoin revolution,positive,2024-02-02 03:56:00,singlesig_simple,41,6
Bitcoin realized cap: $3116 billion,neutral,2024-02-02 08:02:00,fiat_escapist,35,5
NVT ratio currently: 98.82,neutral,2024-02-02 09:57:00,btc_analyst,26,4
Bitcoin exchange reserves: 76650 BTC,neutral,2024-02-02 11:14:00,mining_pro,36,5
Bitcoin education spreading globally. Bullish future,positive,2024-02-02 12:26:00,yield_farmer,52,6
Most Bitcoin is held by whales. Unfair distribution,negative,2024-02-02 14:07:00,privacy_maxi,51,8
Bitcoin whales manipulating market again,negative,2024-02-02 16:24:00,settlement_layer,40,5
Central banks trying to kill Bitcoin with CBDC,negative,2024-02-02 19:13:00,position_trader,46,8
Lightning Network channels: 45215 active,neutral,2024-02-02 21:08:00,nft_collector,40,5
Bitcoin whitepaper anniversary today. 10 years,neutral,2024-02-02 22:59:00,liquidity_provider,46,6
Bitcoin difficulty adjustment in 120 days,neutral,2024-02-03 04:08:00,chart_master,41,6
Coinbase premium: 23% currently,neutral,2024-02-03 04:33:00,bitcoin_standard,31,4
Bitcoin blockchain size reached 268 GB,neutral,2024-02-03 06:18:00,fiat_escapist,38,6
Average Bitcoin fee per transaction: 3.0 dollars,neutral,2024-02-03 09:21:00,retail_investor,48,7
Mempool size: 179 MB currently,neutral,2024-02-03 10:23:00,inflation_hedge,30,5
Network fees collected: 20152 BTC today,neutral,2024-02-03 14:08:00,spot_trader,39,6
This bull run will be epic! Bitcoin to 37k,positive,2024-02-03 15:08:00,cold_storage,42,9
Coins moved on-chain: 6556 BTC,neutral,2024-02-03 17:50:00,node_runner,30,5
Bitcoin price consolidating around 53k,neutral,2024-02-03 19:47:00,security_first,38,5
Realized profit loss ratio: 0.82,neutral,2024-02-03 20:46:00,crypto_bull,32,5
Sound money principles restored by Bitcoin,positive,2024-02-03 22:13:00,settlement_layer,42,6
BTC crash incoming. Sell everything now!,negative,2024-02-03 22:26:00,millennial_investor,40,6
Most Bitcoin holders underwater at current price,negative,2024-02-03 23:55:00,keynesian_critic,48,7
Bitcoin Core version 24.0 released yesterday,neutral,2024-02-04 00:32:00,crypto_bull,44,6
Miner revenue today: $49 million,neutral,2024-02-04 01:35:00,crypto_coach,32,5
Proof of work makes Bitcoin most secure network,positive,2024-02-04 03:14:00,gpu_miner,47,8
Bitcoin Puell Multiple reading: 22.86,neutral,2024-02-04 05:14:00,lightning_dev,37,5
HODL waves showing 49% held over 1 year,neutral,2024-02-04 08:54:00,paper_wallet,39,8
Bitcoin hashrate: 494 EH/s currently,neutral,2024-02-04 09:33:00,pseudonymous_dev,36,5
Lightning Network capacity at 49050 BTC,neutral,2024-02-04 09:58:00,base_layer,39,6
HODL waves showing 6% held over 1 year,neutral,2024-02-04 10:22:00,bitcoin_dev,38,8
Bitcoin blockchain size reached 245 GB,neutral,2024-02-04 15:51:00,brain_wallet,38,6
NVT ratio currently: 94.0,neutral,2024-02-04 17:51:00,unit_of_account,25,4
Coins moved on-chain: 78125 BTC,neutral,2024-02-04 18:39:00,gpu_miner,31,5
FBI seized more Bitcoin from criminals today,negative,2024-02-04 20:37:00,position_trader,44,7
Average confirmation time: 12 minutes,neutral,2024-02-04 23:42:00,digital_gold,37,5
I'm done with crypto. Too risky for me,negative,2024-02-05 00:47:00,bitcoin_dev,38,8
Bitcoin node count increased to 37058,neutral,2024-02-05 04:51:00,lightning_fan,37,6
Average Bitcoin transaction size is 297 bytes,neutral,2024-02-05 05:48:00,security_first,45,7
Bitcoin Core version 24.2 released yesterday,neutral,2024-02-05 06:30:00,bitcoin_dev,44,6
Transaction speed makes Bitcoin unusable,negative,2024-02-05 06:53:00,retail_investor,40,5
Bitcoin dominance currently at 43%,neutral,2024-02-05 07:40:00,lightning_node,34,5
Bitcoin at 56k. Same as yesterday,neutral,2024-02-05 13:11:00,options_trader,33,6
Average Bitcoin transaction size is 129 bytes,neutral,2024-02-05 15:54:00,on_chain_guy,45,7
Bitcoin stock to flow ratio: 0.89,neutral,2024-02-05 16:45:00,hodler_mike,33,6
Bitcoin accepted at 45886 merchants worldwide,positive,2024-02-05 22:20:00,solo_miner,45,6
Bitcoin inflation rate: 50% annually,neutral,2024-02-05 23:46:00,layer_two,36,5
Satoshi Nakamoto mined first Bitcoin block in 2009,neutral,2024-02-06 00:23:00,dca_investor,50,8
Lightning Network channels: 1918 active,neutral,2024-02-06 04:20:00,inflation_hedge,39,5
Sleeping well knowing I own Bitcoin,positive,2024-02-06 05:41:00,silver_to_btc,35,6
Security vulnerabilities found in Bitcoin wallets,negative,2024-02-06 09:04:00,lightning_wallet,49,6
Bitcoin whitepaper anniversary today. 7 years,neutral,2024-02-06 10:17:00,deflation_lover,45,6
Bitcoin dominance currently at 11%,neutral,2024-02-06 11:31:00,sound_money,34,5
Bitcoin fixes monetary policy failures,positive,2024-02-06 12:04:00,market_maker,38,5
Bitcoin realized cap: $66481 billion,neutral,2024-02-06 13:32:00,payment_network,36,5
Bitcoin velocity indicator at 86.8,neutral,2024-02-06 16:21:00,liquidity_provider,34,5
Mempool size: 80 MB currently,neutral,2024-02-06 16:52:00,technical_trader,29,5
Bitcoin Puell Multiple reading: 6.7,neutral,2024-02-06 17:04:00,market_maker,35,5
Total Bitcoin addresses with balance: 47141 million,neutral,2024-02-06 19:31:00,fiat_escapist,51,7
Bitcoin segwit adoption rate is 11 percent,neutral,2024-02-06 20:07:00,crypto_bull,42,7
Realized profit loss ratio: 1.47,neutral,2024-02-06 21:14:00,pseudonymous_dev,32,5
Bitcoin price consolidating around 51k,neutral,2024-02-06 22:42:00,bitcoin_dev,38,5
Living on Bitcoin for 9 years now. Amazing,positive,2024-02-06 23:21:00,lightning_node,42,8
Miner revenue today: $11 million,neutral,2024-02-07 02:35:00,gold_bug_btc,32,5
This bull run will be epic! Bitcoin to 99k,positive,2024-02-07 03:37:00,retired_early,42,9
Bitcoin accepted at 6186 merchants worldwide,positive,2024-02-07 07:25:00,hard_money,44,6
Regulation will destroy Bitcoin. Mark my words,negative,2024-02-07 08:24:00,bull_trader,46,7
Bitcoin hashrate: 437 EH/s currently,neutral,2024-02-07 11:30:00,bitcoin_standard,36,5
Watching Bitcoin charts all day. No clear trend,neutral,2024-02-07 13:18:00,crypto_bull,47,8
Average Bitcoin transaction size is 251 bytes,neutral,2024-02-07 14:17:00,btc_unlimited,45,7
Bitcoin accepted at 6917 merchants worldwide,positive,2024-02-07 14:21:00,custodial_service,44,6
Bitcoin dominance currently at 1%,neutral,2024-02-07 16:24:00,multisig_user,33,5
Bitcoin mining difficulty increased by 9%,neutral,2024-02-07 17:12:00,bitcoin_standard,41,6
Bitcoin price is stable today. Nothing much happening,neutral,2024-02-07 17:57:00,lightning_node,53,8
Bitcoin whitepaper anniversary today. 4 years,neutral,2024-02-07 23:22:00,inflation_hedge,45,6
Bitcoin mining difficulty increased by 46%,neutral,2024-02-08 01:02:00,unit_of_account,42,6
Miner revenue today: $15 million,neutral,2024-02-08 03:22:00,fiat_escapist,32,5
Bitcoin dominance currently at 16%,neutral,2024-02-08 03:47:00,payment_network,34,5
Current Bitcoin mempool has 12641k transactions,neutral,2024-02-08 04:20:00,maximalist_tom,47,6
Living on Bitcoin for 6 years now. Amazing,positive,2024-02-08 05:29:00,bitcoin_core,42,8
